source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,coda_type,location,latitude,longitude,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
sharma2024_dswp,10.1038/s41467-024-47221-8,2188,,06/02/2010,,5,0.8597,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2663,0.2808,0.1669,0.1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2189,,06/02/2010,,5,0.8449,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2696,0.2718,0.1579,0.1456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2190,,06/02/2010,,5,0.8821,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2938,0.263,0.1675,0.1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2191,,06/02/2010,,5,0.867,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2734,0.265,0.1717,0.1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2192,,06/02/2010,,5,0.8941,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2929,0.2679,0.1737,0.1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2193,,06/02/2010,,5,0.8294,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2656,0.2443,0.1793,0.1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2194,,06/02/2010,,5,0.8534,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2705,0.2766,0.1635,0.1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2195,,06/02/2010,,5,0.9037,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2922,0.2765,0.1705,0.1645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2196,,06/02/2010,,5,0.8973,,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.2991,0.2917,0.1743,0.1322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2197,,06/02/2010,,5,1.0583,5987,,J,EC1,1+1+3,"Dominica, Eastern Caribbean",,,0.3554,0.3547,0.1931,0.1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2198,,06/02/2010,,3,0.3159,5981/5978,,J,EC1,3D,"Dominica, Eastern Caribbean",,,0.1733,0.1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2024_dswp,10.1038/s41467-024-47221-8,2199,,06/02/2010,,4,0.4083,5987,,J,EC1,4R1,"Dominica, Eastern Caribbean",,,0.1515,0.1191,0.1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
