source,source_doi,source_coda_id,recording_id,date,time_in_recording_s,n_clicks,coda_duration_s,whale_photo_id,local_speaker_id,social_unit,clan,location,latitude,longitude,rhythm,extra_click,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40
sharma2025_birth,10.1038/s41598-025-27438-3,row44,CETI23-277,2023,55.96525,5,0.8301200000000011,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.265830000000001,0.244230000000002,0.177059999999997,0.143000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row45,CETI23-277,2023,59.44942,5,0.957159999999995,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.340329999999994,0.349080000000001,0.133000000000003,0.134749999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row46,CETI23-277,2023,59.55083,5,0.838550000000004,,CETI23-277_seg2,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.274650000000001,0.254600000000003,0.160999999999994,0.148300000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row47,CETI23-277,2023,62.462,5,0.830399999999998,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.282039999999995,0.28098,0.137770000000003,0.12961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row48,CETI23-277,2023,63.27218,5,0.8548400000000029,,CETI23-277_seg2,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.286290000000001,0.25806,0.153230000000001,0.157260000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row49,CETI23-277,2023,65.15927,5,0.850379999999987,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.299579999999992,0.250900000000001,0.151250000000005,0.148649999999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row50,CETI23-277,2023,67.01378,5,0.893810000000002,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.30107000000001,0.268149999999991,0.169350000000009,0.155239999999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row51,CETI23-277,2023,68.09106,5,0.826360000000008,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.299769999999995,0.238610000000008,0.146159999999995,0.14182000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row52,CETI23-277,2023,70.67365,5,0.878270000000001,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.283410000000003,0.282170000000008,0.166309999999996,0.146379999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row53,CETI23-277,2023,74.4351,5,0.8918699999999969,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.294839999999994,0.274559999999994,0.158470000000008,0.164000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row54,CETI23-277,2023,78.08919,5,0.898309999999995,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.285769999999999,0.286419999999993,0.168180000000007,0.157939999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row55,CETI23-277,2023,81.60425,4,0.7397900000000129,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.29825000000001,0.282290000000003,0.15925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row56,CETI23-277,2023,84.83569,5,0.8793600000000059,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.284289999999999,0.270040000000009,0.169109999999989,0.155920000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row57,CETI23-277,2023,86.81588,5,0.8211799999999991,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.256599999999992,0.256420000000006,0.155999999999992,0.152160000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row58,CETI23-277,2023,88.44473,5,0.784329999999998,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.24839999999999,0.233289999999997,0.155570000000012,0.147069999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row59,CETI23-277,2023,93.7234,5,0.770499999999998,,CETI23-277_seg1,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.230640000000008,0.250360000000001,0.147539999999992,0.141959999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharma2025_birth,10.1038/s41598-025-27438-3,row60,CETI23-277,2023,94.1161,4,1.016170000000003,,CETI23-277_seg2,,EC1,"Dominica, Eastern Caribbean (live birth event)",,,,,0.71942,0.148920000000004,0.147829999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
