codanum,focal,whale,codatype,Duration,handv
5927,True,ATWOOD,1+1+3,1.2460333,a
5928,True,ATWOOD,1+1+3,1.2069833,a
5929,True,ATWOOD,1+1+3,1.179175,a
5930,True,ATWOOD,1+1+3,1.210275,a
6069,True,ATWOOD,1+1+3,0.8233084,i
6070,True,ATWOOD,6i,0.6538,i
6071,True,ATWOOD,1+1+3,0.811225,i
6072,True,ATWOOD,1+1+3,0.8199334,i
6073,True,ATWOOD,1+1+3,0.7385334,i
6074,True,ATWOOD,1+1+3,0.7753499,i
6075,True,ATWOOD,1+1+3,0.8037417,i
6076,True,ATWOOD,1+1+3,0.7971833,i
6108,True,ATWOOD,1+1+3,0.7230583,
6109,True,ATWOOD,1+1+3,0.7106333,
6110,True,ATWOOD,1+1+3,0.7559666,
6111,True,ATWOOD,1+1+3,0.7525667,
6112,True,ATWOOD,1+1+3,0.7440083,
6113,True,ATWOOD,1+1+3,0.7468167,
6148,True,ATWOOD,6i,0.3808083,a
6149,True,ATWOOD,5R1,0.3256583,a
6150,True,ATWOOD,5R1,0.3152833,a
6151,True,ATWOOD,5R1,0.3938,a
6152,True,ATWOOD,5R1,0.3229417,a
6153,True,ATWOOD,5R1,0.3348083,a
6154,True,ATWOOD,5R1,0.3397333,a
6155,True,ATWOOD,5R1,0.3118166,a
6156,True,ATWOOD,5R1,0.335275,a
6163,True,ATWOOD,1+1+3,1.4871,a
6164,True,ATWOOD,1+1+3,1.3820834,a
6165,True,ATWOOD,1+1+3,1.2529,a
6166,True,ATWOOD,10R,1.9095,a
6167,True,ATWOOD,6-NOISE,1.1025386,a
6168,True,ATWOOD,6-NOISE,1.389,a
6169,True,ATWOOD,1+1+3,1.1274584,a
6170,True,ATWOOD,6-NOISE,1.1895,a
6171,True,ATWOOD,1+1+3,1.01615,a
6172,True,ATWOOD,1+1+3,1.0886917,a
6173,True,ATWOOD,1+1+3,1.1767417,a
6182,True,ATWOOD,1+1+3,1.4943084,a
6183,True,ATWOOD,5-NOISE,1.3826065,a
6184,True,ATWOOD,1+1+3,1.4181167,a
6189,True,ATWOOD,1+1+3,1.3451417,a
6190,True,ATWOOD,6-NOISE,1.3078167,a
6191,True,ATWOOD,1+1+3,1.2109916,a
6192,True,ATWOOD,8D,1.4934083,i
6193,True,ATWOOD,9-NOISE,1.6341833,i
6194,True,ATWOOD,9-NOISE,1.6367166,i
6221,True,FORK,1+1+3,0.9922,a
6222,True,FORK,1+1+3,0.8677083,a
6223,True,FORK,1+1+3,0.8866917,a
6224,True,FORK,1+1+3,0.7822583,a
6225,True,FORK,1+1+3,0.6997833,a
6226,True,FORK,1+1+3,0.799925,a
6227,True,FORK,1+1+3,0.8991,a
6228,True,FORK,1+1+3,0.8900833,a
6229,True,FORK,1+1+3,1.1157583,a
6230,True,FORK,1+1+3,1.1650167,a
6231,True,FORK,1+1+3,1.2025666,a
6232,True,FORK,1+1+3,1.1897917,a
6233,True,FORK,1+1+3,1.303125,a
6234,True,FORK,1+1+3,1.2896083,a
6235,True,FORK,1+1+3,1.2745833,a
6236,True,FORK,6-NOISE,1.4722416,i
6237,True,FORK,6-NOISE,1.447575,i
6238,True,FORK,9-NOISE,1.8621824,i
6239,True,FORK,1+1+3,1.162775,i
6267,True,FORK,9i,0.70375,a
6268,True,FORK,10i,0.7887666,a
6269,True,FORK,9i,0.694425,a
6270,True,FORK,9i,0.734,a
6272,True,FORK,1+1+3,0.8912604,i
6273,True,FORK,1+1+3,0.8523833,i
6274,True,FORK,1+1+3,0.8471417,i
6275,True,FORK,1+1+3,0.8274333,i
6276,True,FORK,1+1+3,0.7919774,i
6277,True,FORK,1+1+3,0.7797583,i
6278,True,FORK,1+1+3,0.8369917,i
6279,True,FORK,6-NOISE,1.0336833,i
6280,True,FORK,1+1+3,0.84015,i
6281,True,FORK,1+1+3,0.8107122,i
6282,True,FORK,1+1+3,0.869675,i
6283,True,FORK,1+1+3,0.787725,a
6284,True,FORK,1+1+3,0.8304167,a
6285,True,FORK,1+1+3,0.8957787,a
6286,True,FORK,1+1+3,1.1795,a
6287,True,FORK,1+1+3,1.1149,a
6288,True,FORK,1+1+3,1.1411583,a
6289,True,FORK,1+1+3,1.125675,a
6290,True,FORK,8D,1.4931167,i
