CodaNumber,nClicks,Length,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,CodaName,Unit,WhaleID,Date
184,5,0.777,0.234,0.241,0.169,0.133,0,0,0,0,0,1+1+3,1,0,40237
185,5,0.793,0.28,0.223,0.161,0.129,0,0,0,0,0,1+1+3,1,0,40237
186,5,0.77,0.212,0.255,0.175,0.128,0,0,0,0,0,1+1+3,1,0,40237
187,5,0.794,0.229,0.257,0.168,0.14,0,0,0,0,0,1+1+3,1,0,40237
188,5,0.259,0.059,0.059,0.063,0.078,0,0,0,0,0,5R1,1,0,40237
189,5,0.561,0.176,0.157,0.119,0.109,0,0,0,0,0,1+1+3,1,0,40237
190,5,0.698,0.221,0.192,0.157,0.128,0,0,0,0,0,1+1+3,1,0,40237
191,5,0.809,0.077,0.179,0.263,0.29,0,0,0,0,0,NOISE,1,0,40237
192,5,0.631,0.084,0.169,0.193,0.185,0,0,0,0,0,NOISE,1,0,40237
193,5,0.483,0.053,0.112,0.156,0.162,0,0,0,0,0,NOISE,1,0,40237
194,6,0.61,0.172,0.138,0.107,0.087,0.106,0,0,0,0,NOISE,1,0,40237
195,3,0.368,0.241,0.127,0,0,0,0,0,0,0,3D,1,0,40237
196,3,0.333,0.21,0.123,0,0,0,0,0,0,0,3D,1,0,40237
197,3,0.311,0.209,0.102,0,0,0,0,0,0,0,3D,1,0,40237
198,3,0.349,0.201,0.148,0,0,0,0,0,0,0,3D,1,0,40237
199,3,0.302,0.173,0.129,0,0,0,0,0,0,0,3D,1,0,40237
200,3,0.332,0.189,0.143,0,0,0,0,0,0,0,3D,1,0,40237
201,5,0.63,0.217,0.138,0.164,0.111,0,0,0,0,0,1+1+3,1,0,40237
202,5,0.824,0.231,0.263,0.187,0.143,0,0,0,0,0,1+1+3,1,0,40237
203,5,0.831,0.252,0.236,0.203,0.14,0,0,0,0,0,1+1+3,1,0,40237
204,5,0.852,0.243,0.257,0.192,0.16,0,0,0,0,0,1+1+3,1,0,40237
205,5,0.847,0.25,0.247,0.191,0.159,0,0,0,0,0,1+1+3,1,0,40237
206,5,0.84,0.249,0.256,0.177,0.158,0,0,0,0,0,1+1+3,1,0,40237
207,5,0.88,0.261,0.254,0.169,0.196,0,0,0,0,0,1+1+3,1,0,40237
208,5,0.852,0.253,0.26,0.181,0.158,0,0,0,0,0,1+1+3,1,0,40237
209,5,0.571,0.062,0.147,0.177,0.185,0,0,0,0,0,NOISE,1,0,40237
210,3,0.788,0.392,0.396,0,0,0,0,0,0,0,NOISE,1,0,40254
211,4,0.753,0.385,0.198,0.17,0,0,0,0,0,0,1+32,1,0,40254
212,4,0.754,0.353,0.221,0.18,0,0,0,0,0,0,1+32,1,0,40254
213,5,1.123,0.399,0.371,0.195,0.158,0,0,0,0,0,1+1+3,1,0,40254
214,5,0.818,0.236,0.264,0.188,0.13,0,0,0,0,0,1+1+3,1,0,40254
215,5,1.086,0.381,0.366,0.18,0.159,0,0,0,0,0,1+1+3,1,0,40254
216,5,1.074,0.321,0.412,0.19,0.151,0,0,0,0,0,1+1+3,1,0,40254
217,5,1.072,0.368,0.345,0.189,0.17,0,0,0,0,0,1+1+3,1,0,40254
218,5,0.87,0.245,0.25,0.203,0.172,0,0,0,0,0,1+1+3,1,0,40254
219,5,0.87,0.269,0.253,0.179,0.169,0,0,0,0,0,1+1+3,1,0,40254
220,5,0.857,0.267,0.242,0.193,0.155,0,0,0,0,0,1+1+3,1,0,40254
221,6,0.52,0.168,0.133,0.071,0.064,0.084,0,0,0,0,NOISE,1,0,40254
222,7,0.978,0.22,0.183,0.126,0.113,0.18,0.156,0,0,0,7D,1,0,40254
223,5,0.59,0.214,0.166,0.116,0.094,0,0,0,0,0,1+1+3,1,0,40254
224,5,0.696,0.216,0.188,0.157,0.135,0,0,0,0,0,1+1+3,1,0,40254
225,5,0.85,0.25,0.254,0.2,0.146,0,0,0,0,0,1+1+3,1,0,40254
226,5,0.889,0.268,0.268,0.195,0.158,0,0,0,0,0,1+1+3,1,0,40254
227,5,0.897,0.285,0.248,0.201,0.163,0,0,0,0,0,1+1+3,1,0,40254
228,5,1.141,0.407,0.379,0.18,0.175,0,0,0,0,0,1+1+3,1,0,40254
229,5,1.127,0.398,0.378,0.181,0.17,0,0,0,0,0,1+1+3,1,0,40254
230,5,0.865,0.257,0.262,0.181,0.165,0,0,0,0,0,1+1+3,1,0,40254
231,5,1.118,0.396,0.366,0.189,0.167,0,0,0,0,0,1+1+3,1,0,40254
232,5,1.121,0.385,0.373,0.188,0.175,0,0,0,0,0,1+1+3,1,0,40254
233,5,1.133,0.387,0.369,0.19,0.187,0,0,0,0,0,1+1+3,1,0,40254
234,5,1.121,0.389,0.367,0.188,0.177,0,0,0,0,0,1+1+3,1,0,40254
235,5,1.094,0.376,0.353,0.193,0.172,0,0,0,0,0,1+1+3,1,0,40254
236,5,0.601,0.08,0.136,0.212,0.173,0,0,0,0,0,NOISE,1,0,40254
237,6,0.581,0.164,0.146,0.097,0.081,0.093,0,0,0,0,NOISE,1,0,40254
238,4,0.852,0.278,0.28,0.294,0,0,0,0,0,0,4R2,1,0,40263
239,4,0.823,0.287,0.258,0.278,0,0,0,0,0,0,4R2,1,0,40263
240,4,0.867,0.289,0.286,0.292,0,0,0,0,0,0,4R2,1,0,40263
241,4,0.888,0.297,0.292,0.299,0,0,0,0,0,0,4R2,1,0,40263
242,4,0.975,0.32,0.328,0.327,0,0,0,0,0,0,4R2,1,0,40263
243,4,1.021,0.347,0.331,0.343,0,0,0,0,0,0,4R2,1,0,40263
244,4,1.033,0.354,0.337,0.342,0,0,0,0,0,0,4R2,1,0,40263
245,4,1.057,0.362,0.341,0.354,0,0,0,0,0,0,4R2,1,0,40263
246,4,1.067,0.366,0.35,0.351,0,0,0,0,0,0,4R2,1,0,40263
247,4,0.302,0.101,0.085,0.116,0,0,0,0,0,0,4R1,1,0,40263
248,5,0.369,0.081,0.084,0.088,0.116,0,0,0,0,0,5R1,1,0,40263
249,5,0.35,0.073,0.076,0.085,0.116,0,0,0,0,0,5R1,1,0,40263
250,5,0.91,0.272,0.277,0.211,0.15,0,0,0,0,0,1+1+3,1,0,40263
251,6,0.47,0.076,0.079,0.07,0.097,0.148,0,0,0,0,NOISE,1,0,40263
252,7,0.251,0.03,0.034,0.037,0.04,0.051,0.059,0,0,0,7I,1,0,40263
253,4,0.884,0.298,0.287,0.299,0,0,0,0,0,0,4R2,1,0,40263
254,4,0.851,0.287,0.274,0.29,0,0,0,0,0,0,4R2,1,0,40263
255,4,0.929,0.321,0.309,0.299,0,0,0,0,0,0,4R2,1,0,40263
256,4,0.95,0.328,0.318,0.304,0,0,0,0,0,0,4R2,1,0,40263
257,4,0.972,0.326,0.329,0.317,0,0,0,0,0,0,4R2,1,0,40263
258,4,1.028,0.356,0.341,0.331,0,0,0,0,0,0,4R2,1,0,40263
259,4,1.043,0.363,0.335,0.345,0,0,0,0,0,0,4R2,1,0,40263
260,4,0.909,0.303,0.297,0.309,0,0,0,0,0,0,4R2,1,0,40263
261,4,0.786,0.508,0.151,0.127,0,0,0,0,0,0,NOISE,1,0,40263
262,5,0.291,0.079,0.07,0.075,0.067,0,0,0,0,0,5R1,1,0,40263
263,5,0.82,0.288,0.257,0.152,0.123,0,0,0,0,0,1+1+3,1,0,40263
264,5,0.755,0.212,0.25,0.173,0.12,0,0,0,0,0,1+1+3,1,0,40263
265,5,0.829,0.239,0.283,0.159,0.148,0,0,0,0,0,1+1+3,1,0,40263
266,5,0.919,0.303,0.307,0.163,0.146,0,0,0,0,0,1+1+3,1,0,40263
267,5,0.837,0.275,0.258,0.156,0.148,0,0,0,0,0,1+1+3,1,0,40263
268,5,0.845,0.296,0.232,0.19,0.127,0,0,0,0,0,1+1+3,1,0,40263
269,5,0.801,0.262,0.244,0.157,0.138,0,0,0,0,0,1+1+3,1,0,40263
270,5,0.373,0.117,0.08,0.077,0.099,0,0,0,0,0,5R1,1,0,40263
271,6,0.376,0.055,0.074,0.076,0.08,0.091,0,0,0,0,6D,1,0,40263
272,6,0.376,0.072,0.064,0.079,0.077,0.084,0,0,0,0,6D,1,0,40263
273,6,0.388,0.079,0.073,0.062,0.085,0.089,0,0,0,0,6D,1,0,40263
274,7,0.504,0.085,0.084,0.073,0.071,0.084,0.107,0,0,0,7I,1,0,40263
275,8,0.225,0.03,0.021,0.036,0.03,0.032,0.034,0.042,0,0,8I,1,0,40263
276,9,0.372,0.07,0.038,0.037,0.038,0.04,0.034,0.058,0.057,0,9I,1,0,40263
277,9,0.37,0.025,0.032,0.034,0.044,0.047,0.051,0.052,0.085,0,9I,1,0,40263
278,10,0.386,0.028,0.031,0.035,0.036,0.036,0.037,0.039,0.048,0.096,10I,1,0,40263
279,5,0.351,0.107,0.093,0.068,0.083,0,0,0,0,0,5R1,2,0,39527
280,5,0.355,0.113,0.1,0.066,0.076,0,0,0,0,0,5R1,2,0,39527
281,5,0.328,0.098,0.099,0.064,0.067,0,0,0,0,0,5R1,2,0,39527
282,5,0.683,0.229,0.24,0.105,0.109,0,0,0,0,0,1+1+3,2,0,39527
283,5,0.791,0.273,0.25,0.145,0.123,0,0,0,0,0,1+1+3,2,0,39527
284,5,0.785,0.294,0.222,0.139,0.13,0,0,0,0,0,1+1+3,2,0,39527
285,5,0.825,0.287,0.258,0.155,0.125,0,0,0,0,0,1+1+3,2,0,39527
286,5,0.341,0.098,0.099,0.082,0.062,0,0,0,0,0,5R1,2,0,39527
287,5,0.372,0.108,0.109,0.073,0.082,0,0,0,0,0,5R1,2,0,39527
288,5,0.463,0.152,0.105,0.094,0.112,0,0,0,0,0,NOISE,2,0,39527
289,5,0.972,0.321,0.316,0.185,0.15,0,0,0,0,0,1+1+3,2,0,39527
290,5,1.007,0.342,0.338,0.188,0.139,0,0,0,0,0,1+1+3,2,0,39527
291,5,1.09,0.368,0.354,0.193,0.175,0,0,0,0,0,1+1+3,2,0,39527
292,5,0.341,0.108,0.095,0.063,0.075,0,0,0,0,0,5R1,2,0,39527
293,5,0.821,0.237,0.26,0.195,0.129,0,0,0,0,0,1+1+3,2,0,39527
294,5,0.785,0.262,0.213,0.179,0.131,0,0,0,0,0,1+1+3,2,0,39527
295,5,0.792,0.23,0.245,0.198,0.119,0,0,0,0,0,1+1+3,2,0,39527
296,5,0.762,0.221,0.247,0.17,0.124,0,0,0,0,0,1+1+3,2,0,39527
297,5,0.79,0.231,0.248,0.178,0.133,0,0,0,0,0,1+1+3,2,0,39527
298,5,0.79,0.222,0.257,0.184,0.127,0,0,0,0,0,1+1+3,2,0,39527
299,5,0.825,0.257,0.272,0.16,0.136,0,0,0,0,0,1+1+3,2,0,39527
300,5,0.835,0.263,0.267,0.17,0.135,0,0,0,0,0,1+1+3,2,0,39527
