source,source_coda_id,coda_type_gero21,classifier_origin
sharma2025_birth,row499,1+1+3,pacific-matched
sharma2025_birth,row500,4R2,pacific-matched
sharma2025_birth,row501,8R,pacific-matched
sharma2025_birth,row502,1+1+3,pacific-matched
sharma2025_birth,row503,1+1+3,pacific-matched
sharma2025_birth,row504,1+1+3,pacific-matched
sharma2025_birth,row505,1+1+3,pacific-matched
sharma2025_birth,row506,4R2,pacific-matched
sharma2025_birth,row507,1+1+3,pacific-matched
sharma2025_birth,row508,1+1+3,pacific-matched
sharma2025_birth,row509,6i,pacific-matched
sharma2025_birth,row510,1+1+3,pacific-matched
sharma2025_birth,row511,1+1+3,pacific-matched
sharma2025_birth,row512,1+1+3,pacific-matched
sharma2025_birth,row513,4R2,pacific-matched
sharma2025_birth,row514,1+1+3,pacific-matched
sharma2025_birth,row515,1+1+3,pacific-matched
sharma2025_birth,row516,4R2,pacific-matched
sharma2025_birth,row517,1+31,pacific-matched
sharma2025_birth,row518,1+1+3,pacific-matched
sharma2025_birth,row519,1+1+3,pacific-matched
sharma2025_birth,row520,4RP4,discovery-cluster
sharma2025_birth,row521,1+1+3,pacific-matched
sharma2025_birth,row522,1+1+3,pacific-matched
sharma2025_birth,row523,1+1+3,pacific-matched
sharma2025_birth,row524,4R2,pacific-matched
sharma2025_birth,row525,1+1+3,pacific-matched
sharma2025_birth,row526,1+1+3,pacific-matched
sharma2025_birth,row527,1+1+3,pacific-matched
sharma2025_birth,row528,1+1+3,pacific-matched
sharma2025_birth,row529,1+1+3,pacific-matched
sharma2025_birth,row530,4R2,pacific-matched
sharma2025_birth,row531,1+1+3,pacific-matched
sharma2025_birth,row532,1+1+3,pacific-matched
sharma2025_birth,row533,4R2,pacific-matched
sharma2025_birth,row534,1+1+3,pacific-matched
sharma2025_birth,row535,4D,pacific-matched
sharma2025_birth,row536,4D,pacific-matched
sharma2025_birth,row537,1+1+3,pacific-matched
sharma2025_birth,row538,1+1+3,pacific-matched
sharma2025_birth,row539,1+1+3,pacific-matched
sharma2025_birth,row540,1+1+3,pacific-matched
sharma2025_birth,row541,1+1+3,pacific-matched
sharma2025_birth,row542,1+1+3,pacific-matched
sharma2025_birth,row543,2+3,pacific-matched
sharma2025_birth,row544,3D,pacific-matched
sharma2025_birth,row545,1+1+3,pacific-matched
sharma2025_birth,row546,1+1+3,pacific-matched
sharma2025_birth,row547,1+1+3,pacific-matched
sharma2025_birth,row548,1+1+3,pacific-matched
sharma2025_birth,row549,1+1+3,pacific-matched
sharma2025_birth,row550,1+1+3,pacific-matched
sharma2025_birth,row551,1+1+3,pacific-matched
sharma2025_birth,row552,4R2,pacific-matched
sharma2025_birth,row553,1+1+3,pacific-matched
sharma2025_birth,row554,1+1+3,pacific-matched
sharma2025_birth,row555,6-NOISE,discovery-noise
sharma2025_birth,row556,1+1+3,pacific-matched
sharma2025_birth,row557,1+1+3,pacific-matched
sharma2025_birth,row559,4R2,pacific-matched
sharma2025_birth,row560,1+1+3,pacific-matched
sharma2025_birth,row561,1+1+3,pacific-matched
sharma2025_birth,row562,1+1+3,pacific-matched
sharma2025_birth,row563,4R2,pacific-matched
sharma2025_birth,row564,1+1+3,pacific-matched
sharma2025_birth,row565,1+1+3,pacific-matched
sharma2025_birth,row568,1+1+3,pacific-matched
sharma2025_birth,row569,1+1+3,pacific-matched
sharma2025_birth,row570,1+1+3,pacific-matched
sharma2025_birth,row571,1+1+3,pacific-matched
sharma2025_birth,row572,1+1+3,pacific-matched
sharma2025_birth,row573,4R1,pacific-matched
sharma2025_birth,row574,1+1+3,pacific-matched
